rank,target_type,target_id,priority,risk_score,confidence,title,summary
137,INCIDENT,INC-E5D4001B,MONITOR,48.17,57.99,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 48.
138,INCIDENT,INC-54ADB586,MONITOR,47.99,59.63,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 48.
139,ROUTE,RTE-8F0A4EBD,MONITOR,47.82,75.22,High-Activity Transport Route,This route exhibits risk indicators (score 47.
140,ROUTE,RTE-DD5236CF,MONITOR,47.71,75.64,High-Activity Transport Route,This route exhibits risk indicators (score 47.
141,INCIDENT,INC-0EC4B271,MONITOR,47.7,57.05,Coded Commodity Trafficking Event,This incident exhibits risk indicators (score 47.
142,INCIDENT,INC-A3DFB62E,MONITOR,47.66,80.18,Coded Commodity Trafficking Event,This incident exhibits risk indicators (score 47.
143,INCIDENT,INC-FE66FC1A,MONITOR,47.59,70.61,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 47.
144,INCIDENT,INC-1D3FC12F,MONITOR,47.47,62.24,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 47.
145,INCIDENT,INC-D7628F86,MONITOR,47.26,70.41,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 47.
146,ACTOR,ACT-DD3ED62E,MONITOR,47.09,56.54,Coded-Communication Suspect,This actor exhibits risk indicators (score 47.
147,INCIDENT,INC-F315480D,MONITOR,47.02,54.8,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 47.
148,INCIDENT,INC-3C7F2D1E,MONITOR,47.02,58.37,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 47.
149,INCIDENT,INC-5814A5A3,MONITOR,46.95,38.63,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
150,ACTOR,ACT-A3B509D1,MONITOR,46.78,50.97,High-Risk Broker Network,This actor exhibits risk indicators (score 46.
151,INCIDENT,INC-60A557B7,MONITOR,46.75,66.73,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
152,ROUTE,RTE-FDDFEF85,MONITOR,46.73,64.25,High-Activity Transport Route,This route exhibits risk indicators (score 46.
153,INCIDENT,INC-F97EDDD5,MONITOR,46.48,71.51,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
154,INCIDENT,INC-78AFF1CC,MONITOR,46.17,39.76,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
155,INCIDENT,INC-CDA89BFA,MONITOR,46.16,71.6,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
156,INCIDENT,INC-C23A7161,MONITOR,46.04,61.72,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 46.
157,INCIDENT,INC-1531B1ED,MONITOR,45.84,62.58,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 45.
158,ROUTE,RTE-674B55E3,MONITOR,45.77,74.25,High-Activity Transport Route,This route exhibits risk indicators (score 45.
159,ACTOR,ACT-DUP-0003,MONITOR,45.74,60.44,High-Risk Broker Network,This actor exhibits risk indicators (score 45.
160,INCIDENT,INC-ECB2E22B,MONITOR,45.55,70.74,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 45.
161,INCIDENT,INC-6391E51B,MONITOR,45.44,70.52,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 45.
162,INCIDENT,INC-B7B4001A,MONITOR,45.22,54.58,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 45.
163,INCIDENT,INC-FE7DD637,MONITOR,45.15,58.4,High-Risk Trafficking Incident,This incident exhibits risk indicators (score 45.
164,ROUTE,RTE-B4DC47C9,MONITOR,45.02,75.84,High-Activity Transport Route,This route exhibits risk indicators (score 45.
165,ACTOR,ACT-D404B1E6,MONITOR,45.01,60.59,High-Risk Broker Network,This actor exhibits risk indicators (score 45.
